invno,invdate,amount,tbl_customer_idtbl_customer,customer,,,,,,,,,
5131,9/4/2023,82830,32,NEW CASCADE ELECTRICALS,,,,,,,,,
5143,9/5/2023,42150,32,NEW CASCADE ELECTRICALS,,,,,,,,,
4388,2/22/2023,25110,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
4433,3/9/2023,118500,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
4982,7/8/2023,40500,4,CASCADE ELECTRICALS,,,,,,,,,
4471,3/21/2023,40500,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
5514,11/15/2023,11220,4,CASCADE ELECTRICALS,,,,,,,,,
5484,11/6/2023,4680,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
5616,12/11/2023,54000,4,CASCADE ELECTRICALS,,,,,,,,,
4618,5/16/2023,19807.5,287,NIPPON ELECTRICAL ,,,,,,,,,
4193,12/19/2022,96900,18,HORANA ELECTRICALS,,,,,,,,,
4244,1/2/2023,111000,18,HORANA ELECTRICALS,,,,,,,,,
4732,6/16/2023,16200,287,NIPPON ELECTRICAL ,,,,,,,,,
4584,5/2/2023,30375,18,HORANA ELECTRICALS,,,,,,,,,
4632,5/19/2023,40500,18,HORANA ELECTRICALS,,,,,,,,,
4557,4/21/2023,154650,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
4559,4/21/2023,39015,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
3658,3/26/2023,8370,37,POWER GRANT,,,,,,,,,
4693,6/6/2023,24277.5,37,POWER GRANT,,,,,,,,,
4758,6/21/2023,230475,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
4994,8/8/2023,78870,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
5015,8/11/2023,22680,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
5140,9/5/2023,337080,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
4710,6/12/2023,4335,37,POWER GRANT,,,,,,,,,
4752,6/21/2023,4732.5,37,POWER GRANT,,,,,,,,,
5252,9/30/2023,131062.5,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
4970,7/31/2023,24180,37,POWER GRANT,,,,,,,,,
5385,10/19/2023,83250,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
4673,5/31/2023,4095,17,HEYLI ELECTRICALS,,,,,,,,,
5422,10/26/2023,83700,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
5017,8/14/2023,13425,17,HEYLI ELECTRICALS,,,,,,,,,
5584,12/4/2023,83700,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
5211,9/19/2023,50940,17,HEYLI ELECTRICALS,,,,,,,,,
5645,12/18/2023,54000,281,LIGHT HOUSE ELECTRICALS,,,,,,,,,
5633,12/14/2023,6637.5,14,GUNARATHNE ELECTRICALS,,,,,,,,,
4944,7/26/2023,12967.5,47,SCAME ELECTRICALS,,,,,,,,,
5152,9/7/2023,26422.5,47,SCAME ELECTRICALS,,,,,,,,,
4319,2/1/2023,534075,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4007,10/7/2022,8242.5,56,VITHANAGE ELECTRICLAS,,,,,,,,,
4402,2/27/2023,129750,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5051,8/18/2023,27727.5,56,VITHANAGE ELECTRICLAS,,,,,,,,,
4419,3/3/2023,702555,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4659,5/30/2023,28177.5,1,A.N. ELECTRICALS,,,,,,,,,
4847,7/11/2023,25170,1,A.N. ELECTRICALS,,,,,,,,,
4423,3/7/2023,326250,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4850,7/12/2023,8520,1,A.N. ELECTRICALS,,,,,,,,,
4861,7/13/2024,72465,1,A.N. ELECTRICALS,,,,,,,,,
4476,3/22/2023,141600,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4870,7/14/2023,16650,1,A.N. ELECTRICALS,,,,,,,,,
4875,7/14/2023,6202.5,1,A.N. ELECTRICALS,,,,,,,,,
4509,3/30/2023,34200,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4893,7/19/2023,4110,1,A.N. ELECTRICALS,,,,,,,,,
4543,4/7/2023,122175,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
915,7/26/2023,106410,1,A.N. ELECTRICALS,,,,,,,,,
4950,7/27/2023,19020,1,A.N. ELECTRICALS,,,,,,,,,
4548,4/10/2023,72315,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5080,8/24/2023,7965,1,A.N. ELECTRICALS,,,,,,,,,
5316,10/6/2023,183150,1,A.N. ELECTRICALS,,,,,,,,,
4606,5/10/2023,370680,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5466,10/31/2023,208845,1,A.N. ELECTRICALS,,,,,,,,,
4688,6/5/2023,229582.5,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4702,6/12/2023,163200,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5467,10/31/2023,149085,1,A.N. ELECTRICALS,,,,,,,,,
4721,6/14/2023,111975,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4605,5/10/2023,102675,52,TIMEE ELECTRICALS,,,,,,,,,
4822,7/14/2023,24285,52,TIMEE ELECTRICALS,,,,,,,,,
4722,6/15/2023,254265,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4827,7/7/2023,318225,52,TIMEE ELECTRICALS,,,,,,,,,
4778,7/27/2023,89475,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
4865,7/13/2023,10125,52,TIMEE ELECTRICALS,,,,,,,,,
5109,8/29/2023,84300,52,TIMEE ELECTRICALS,,,,,,,,,
5491,11/7/2023,104850,52,TIMEE ELECTRICALS,,,,,,,,,
5151,9/7/2023,40275,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5600,12/6/2023,196920,52,TIMEE ELECTRICALS,,,,,,,,,
5621,12/12/2023,135000,52,TIMEE ELECTRICALS,,,,,,,,,
5227,9/25/2023,918247.5,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5246,9/27/2023,40680,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5253,9/30/2023,174750,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5303,10/5/2023,337950,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5359,10/13/2023,84075,46,SARATH ENTERPRISES,,,,,,,,,
5414,10/25/2023,46590,46,SARATH ENTERPRISES,,,,,,,,,
5360,10/13/2023,363570,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5425,10/26/2023,21555,46,SARATH ENTERPRISES,,,,,,,,,
5578,11/30/2023,194940,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5490,11/7/2023,34320,46,SARATH ENTERPRISES,,,,,,,,,
5667,12/22/2023,1771710,300,WELEKADE GLASS & ELECTRICALS,,,,,,,,,
5518,11/15/2023,7755,46,SARATH ENTERPRISES,,,,,,,,,
4597,5/8/2023,90750,316,RIZNA HARDWARE,,,,,,,,,
